 
Title|Author|Format|Year|Themes
Power of Myth|Joseph Campbell|Non-Fiction Book|1988|metaphor; religion; comparative study
Letting Go|David R. Hawkins|Non-Fiction Book|2012|anger; levels of emotion; ego; survival
Why Buddhism is True|Robert Wright|Non-Fiction Book|2017|buddhism; evolution; ego; comparative study
MyChakra Meditation App| |Apple Store App|2012|levels; chakras; ego
Other Minds|Peter Godfrey-Smith|Non-Fiction Book|2016|evolution; survival; adaptation
Illusions|Richard Bach|Fiction Book|1977|ego; metaphor; teaching
Road to Wigan Pier|George Orwell|Non-Fiction Book|1937|socialism; survival
Feather Thief|Kirk Wallace Johnson|Non-Fiction Book|2018|evolution; deception
Art of War|Sun Tzu|Non-Fiction Book|-500|survival; metaphor; deception
Power of Vulnerability|Brene Brown|Non-Fiction Book|2012|acceptance; forgiveness; vulnerability
